,boat_name,activity,time
268,Lights Out,Hooked up,Monday @12:35 PM
269,Grand Slam,Wallis Higginbotham released a sailfish.,Monday @12:36 PM
270,Grand Slam,Hooked up,Monday @12:33 PM
271,Accordingly IV,Released a blue marlin.,Monday @12:34 PM
272,Accordingly IV,Hooked up,Monday @12:06 PM
273,High Octane,Released a blue marlin.,Monday @12:29 PM
274,High Octane,Hooked up,Monday @12:10 PM
275,Uno Mas,Released a blue marlin.,Monday @12:24 PM
276,Genetic Disorder,Released a blue marlin.,Monday @12:14 PM
277,Genetic Disorder,Hooked up,Monday @11:47 AM
278,Hammer Time,Released a blue marlin.,Monday @12:13 PM
279,Hammer Time,Hooked up,Monday @11:57 AM
280,Marlin Fever,Thomas Daniel released a blue marlin.,Monday @12:08 PM
281,Horse Play,Ted Keany released a blue marlin.,Monday @12:03 PM
282,Horse Play,Hooked up,Monday @11:34 AM
283,Triple S,Released a white marlin.,Monday @11:59 AM
284,Triple S,Hooked up,Monday @11:54 AM
285,Reel Affair,Released a blue marlin.,Monday @11:52 AM
286,Reel Affair,Hooked up,Monday @11:35 AM
287,BANKWALKER,Released a blue marlin.,Monday @11:51 AM
288,BANKWALKER,Hooked up,Monday @10:25 AM
289,Can Do Too,Andy Valentine released a blue marlin.,Monday @11:22 AM
290,Can Do Too,Hooked up,Monday @11:02 AM
291,Orrsman,Released a blue marlin.,Monday @11:15 AM
292,Orrsman,Hooked up,Monday @10:47 AM
293,Sea Fix,Francis Johnson released a blue marlin.,Monday @11:10 AM
294,Sea Fix,Hooked up,Monday @11:02 AM
295,Release,Released a blue marlin.,Monday @10:52 AM
296,Release,Hooked up,Monday @10:31 AM
297,Reel Steel,Released a blue marlin.,Monday @10:46 AM
298,Reel Steel,Hooked up,Monday @10:38 AM
299,Annie C,Released a white marlin.,Monday @10:38 AM
300,Annie C,Hooked up,Monday @10:34 AM
301,Miss Peggy Sue II,Released a blue marlin.,Monday @10:34 AM
302,Miss Peggy Sue II,Hooked up,Monday @10:11 AM
303,Heels N Reels,Released a blue marlin.,Monday @10:24 AM
304,Heels N Reels,Hooked up,Monday @10:02 AM
305,Justified,Tylor  Howard released a white marlin.,Monday @10:18 AM
306,Justified,Hooked up,Monday @10:00 AM
307,Elcazador,Jack Ricks released a blue marlin.,Monday @10:10 AM
308,Elcazador,Hooked up,Monday @ 9:55 AM
309,Cane Pole,Released a blue marlin.,Monday @ 9:58 AM
310,Cane Pole,Hooked up,Monday @ 9:34 AM
311,Lo Que Sea,Released a blue marlin.,Monday @ 9:56 AM
312,Lo Que Sea,Hooked up,Monday @ 9:09 AM
313,Bench Mark,Released a sailfish.,Monday @ 9:52 AM
314,Orrsman,Released a blue marlin.,Monday @ 9:44 AM
315,Orrsman,Hooked up,Monday @ 9:29 AM
316,Carolina Lady,Released a sailfish.,Monday @ 9:43 AM
317,Carolina Lady,Hooked up,Monday @ 9:40 AM
318,Syked Out,Released a white marlin.,Monday @ 9:43 AM
319,Sea Hound,Released a blue marlin.,Monday @ 9:38 AM
320,Sea Hound,Hooked up,Monday @ 9:10 AM
321,Miss Peggy Sue II,Released a blue marlin.,Monday @ 9:28 AM
322,Miss Peggy Sue II,Hooked up,Monday @ 9:15 AM
323,Peggy,Released a blue marlin.,Monday @ 9:26 AM
324,Peggy,Hooked up,Monday @ 9:08 AM
325,Savanna Leigh,Lost (Pulled Hook).,Saturday @ 1:02 PM
326,Savanna Leigh,Hooked up,Saturday @ 1:02 PM
327,Susie Q,Lost (Pulled Hook).,Saturday @12:30 PM
328,Susie Q,Hooked up,Saturday @12:30 PM
329,Ann Warrick,Lost (Pulled Hook).,Saturday @12:00 PM
330,Ann Warrick,Hooked up,Saturday @12:00 PM
331,EZ Boy,Lost (Pulled Hook).,Saturday @10:15 AM
332,EZ Boy,Hooked up,Saturday @10:15 AM
333,Carolina Girl- Croswait,Lost (Pulled Hook).,Saturday @ 9:35 AM
334,Carolina Girl- Croswait,Hooked up,Saturday @ 9:35 AM
335,Relentless,Lost (Pulled Hook).,Saturday @ 9:01 AM
336,Mercenaria,Lost (Pulled Hook).,Friday @ 3:22 PM
337,Mercenaria,Hooked up,Friday @ 2:55 PM
338,Blue Sky,Lost (Pulled Hook).,Friday @ 3:17 PM
339,Blue Sky,Hooked up,Friday @ 3:00 PM
340,Doc Fees,Lost (Pulled Hook).,Friday @ 3:00 PM
341,Doc Fees,Hooked up,Friday @ 3:00 PM
342,Reel Love,Lost (Pulled Hook).,Friday @ 2:17 PM
343,Reel Love,Hooked up,Friday @ 2:17 PM
344,Catch 23,Lost (Pulled Hook).,Friday @ 2:00 PM
345,Catch 23,Hooked up,Friday @ 2:00 PM
346,Elcazador,Lost (Pulled Hook).,Friday @ 1:44 PM
347,Elcazador,Hooked up,Friday @ 1:44 PM
348,Critter II,Lost (Pulled Hook).,Friday @12:15 PM
349,Critter II,Hooked up,Friday @11:58 AM
350,Electric Bill,Lost (Pulled Hook).,Friday @11:51 AM
351,Electric Bill,Hooked up,Friday @11:48 AM
352,Low Profile,Lost (Pulled Hook).,Friday @11:43 AM
353,Low Profile,Hooked up,Friday @11:40 AM
354,Persistence,Lost (Pulled Hook).,Friday @ 9:23 AM
355,Persistence,Hooked up,Friday @ 9:23 AM
356,Buckshott,Lost (Pulled Hook).,Friday @ 9:05 AM
357,Buckshott,Hooked up,Friday @ 9:05 AM
358,Marked Off,Lost (Pulled Hook).,Thursday @12:42 PM
359,Marked Off,Hooked up,Thursday @12:42 PM
360,Grand Slam,Lost (Pulled Hook).,Wednesday @ 2:44 PM
361,Grand Slam,Hooked up,Wednesday @ 9:19 AM
362,Sushi,Lost (Pulled Hook).,Wednesday @ 2:16 PM
363,Sea Spell,Lost (Pulled Hook).,Wednesday @ 1:30 PM
364,Natural,Lost (Pulled Hook).,Wednesday @12:30 PM
365,Natural,Hooked up,Wednesday @12:30 PM
366,Horse,Lost (Pulled Hook).,Wednesday @12:20 PM
367,El Bendidos,Lost (Pulled Hook).,Wednesday @11:39 AM
