,boat_name,activity,time
177,Twin Fin,Hooked up,Wednesday @ 9:22 AM
178,Hit N Run,Released a white marlin.,Wednesday @ 1:50 PM
179,Hit N Run,Hooked up,Wednesday @ 1:47 PM
180,Double J,Lost (Wrong Species).,Wednesday @ 1:29 PM
181,Dancin Outlaw,60th Release,Wednesday @ 1:26 PM
182,Dancin Outlaw,Released a 60th release.,Wednesday @ 1:26 PM
183,Dancin Outlaw,Hooked up,Wednesday @ 1:19 PM
184,Freestyle,Released a blue marlin.,Wednesday @ 1:24 PM
185,Skirt Chaser,Released a white marlin.,Wednesday @12:52 PM
186,Bullfrog,Released a white marlin.,Wednesday @12:50 PM
187,Bullfrog,Hooked up,Wednesday @12:45 PM
188,Lo Que Sea,Released a white marlin.,Wednesday @12:24 PM
189,Syked Out,Released a blue marlin.,Wednesday @12:02 PM
190,Syked Out,Hooked up,Wednesday @12:02 PM
191,Floridian,Released a blue marlin.,Wednesday @11:59 AM
192,Floridian,Hooked up,Wednesday @11:59 AM
193,Coverage,Released a blue marlin.,Wednesday @11:57 AM
194,Coverage,Hooked up,Wednesday @11:57 AM
195,Carolina Time,Lost (Pulled Hook).,Wednesday @11:54 AM
196,Carolina Time,Hooked up,Wednesday @11:54 AM
197,Bare Bones,Lost (Pulled Hook).,Wednesday @11:41 AM
198,Bare Bones,Hooked up,Wednesday @11:41 AM
199,Wolverine,Released a blue marlin.,Wednesday @11:37 AM
200,Wolverine,Hooked up,Wednesday @11:37 AM
201,Singularis,Released a blue marlin.,Wednesday @11:35 AM
202,Singularis,Hooked up,Wednesday @11:35 AM
203,Pelagic,Lost (Pulled Hook).,Wednesday @11:33 AM
204,Pelagic,Hooked up,Wednesday @11:33 AM
205,The General,Lost (Pulled Hook).,Wednesday @11:31 AM
206,The General,Hooked up,Wednesday @11:31 AM
207,Hit N Run,Released a white marlin.,Wednesday @11:29 AM
208,Hit N Run,Hooked up,Wednesday @11:29 AM
209,Fowl Hooked,Lost (Pulled Hook).,Wednesday @11:11 AM
210,Fowl Hooked,Hooked up,Wednesday @11:11 AM
211,Shifting Gears,Released a blue marlin.,Wednesday @11:05 AM
212,Shifting Gears,Hooked up,Wednesday @11:05 AM
